,Cumulative Daily Returns,IBOV,CDI
2018-01-02,1.0,1.0,1.00026481
2018-01-03,0.9922313186779828,1.0013351991886097,1.0005296901243361
2018-01-04,0.9947781046752544,1.0097058710248938,1.000794640391578
2018-01-05,0.9983905940282607,1.0151493754092258,1.0010596608203
2018-01-08,0.9976257224442088,1.0191036191601084,1.0013247514290817
2018-01-09,0.9941542374822151,1.012491815485743,1.0015899122365077
2018-01-10,0.9890881993386099,1.003979920658356,1.001855143261167
2018-01-11,1.0057767431662845,1.0189238808077956,1.002120444521654
2018-01-12,1.01221886082676,1.0187184655480095,1.0023858160365677
2018-01-16,1.0028692011665294,1.0249194387028029,1.0029167699040968
2018-01-17,1.0059776332768946,1.0423412204234126,1.0031823522939352
2018-01-18,0.9894920974610812,1.0394397298789337,1.0034480050126462
2018-01-19,1.0006309623972987,1.042739212489248,1.0037137280788535
2018-01-22,0.9913800697790504,1.0485807089394157,1.003979521511186
2018-01-23,1.0031064380438741,1.0357807705639936,1.0042453853282773
2018-01-24,1.062416927245207,1.0743218086813628,1.004511319548766
2018-01-26,1.169411454943125,1.0980857865478686,1.005043399274515
2018-01-29,1.138959733736876,1.0873913545852543,1.0053095448170768
2018-01-30,1.1420340991761695,1.0846182485781417,1.0055757608376399
2018-01-31,1.1584596895329797,1.09015162213863,1.0058420473548673
2018-02-01,1.16730015976556,1.0976236022133499,1.0061084043874273
2018-02-02,1.1493371218349815,1.078956490480287,1.0063748319539931
2018-02-06,1.1829717684601357,1.0770692377810023,1.0069078987638596
2018-02-07,1.1586045595098338,1.0626003004198181,1.0071745380445312
2018-02-08,1.1479327629050005,1.0467576485088144,1.0074318912824924
2018-02-09,1.1462792256611773,1.0386180688397897,1.007689310279353
2018-02-14,1.183335332243523,1.0725629405194446,1.0079467950519156
2018-02-15,1.2015934293977055,1.0821661039144452,1.0082043456169874
2018-02-16,1.2300499166470062,1.085170302088817,1.0084619619913795
2018-02-20,1.2460913553017623,1.1015906844179695,1.0089773922353915
2018-02-21,1.2656675865420064,1.1047746209446543,1.0092352061386556
2018-02-22,1.2792248527589967,1.1129142006136787,1.0094930859185283
2018-02-23,1.2911825431387178,1.1207071420318142,1.0097510315918423
2018-02-26,1.2935864437646463,1.1253289853770019,1.0100090431754347
2018-02-27,1.2937609109291437,1.1161109755941,1.0102671206861469
2018-02-28,1.2330193372830884,1.097443863861037,1.0105252641408247
2018-03-06,1.214625381419949,1.099652077903738,1.0115584977362557
2018-03-07,1.2213257269383537,1.0974823792222472,1.0118169711635974
2018-03-08,1.226365670160887,1.091075990807668,1.0120755106360693
2018-03-09,1.2295431286729481,1.1088700876866397,1.012334116170547
2018-03-12,1.2427301056353395,1.1156616297133182,1.012592787783911
2018-03-13,1.2190762006400881,1.109036987585216,1.0128515254930455
2018-03-14,1.2305367732679855,1.1047617824909175,1.0131103293148396
2018-03-15,1.2155946005185867,1.0903441989446798,1.0133691992661862
2018-03-16,1.213657495234002,1.0898049838877413,1.0136281353639827
2018-03-19,1.2087114041453175,1.0773131684019983,1.0138871376251308
2018-03-20,1.2172419375305938,1.0805356202898928,1.014146206066537
2018-03-21,1.2275960125970218,1.0909732831777748,1.014405340705111
2018-03-22,1.2573980827764186,1.0882900463468186,1.0146550872999927
2018-03-23,1.2595158201119954,1.0832702109357955,1.014904895382486
2018-03-26,1.2785127816474917,1.0923983515425406,1.0151547649677293
2018-03-27,1.2554761914474846,1.0759651307596516,1.0154046960708645
2018-03-28,1.2560961995365991,1.0768124687062692,1.0156546887070372
2018-03-29,1.2691455093341548,1.095967441681324,1.015904742891397
2018-04-02,1.261993075668996,1.0869805240656816,1.016154858639097
2018-04-03,1.2502348057259776,1.0864284705550065,1.016405035965294
2018-04-04,1.2429519864707417,1.0830519572222723,1.0166552748851487
2018-04-05,1.2559445482710865,1.0939646428984093,1.0169055754138256
2018-04-06,1.239580376207598,1.0889576459411228,1.0171559375664927
2018-04-09,1.2312161413051306,1.0695330654375985,1.0174063613583217
2018-04-10,1.2485148292293595,1.0849777252827668,1.0176568468044882
2018-04-11,1.272603988717686,1.094426827232928,1.0179073939201715
2018-04-12,1.271212189869959,1.0969688410727811,1.0181580027205548
2018-04-13,1.237924873372434,1.0827181574251197,1.0184086732208246
2018-04-16,1.2158713790308393,1.0638199535247974,1.0186594054361717
2018-04-17,1.241053021752101,1.079534220898435,1.0189101993817902
2018-04-18,1.2567950647383337,1.101231207713343,1.019161055072878
2018-04-19,1.2310316804838852,1.1018474534927014,1.0194119725246371
2018-04-20,1.2557772952840902,1.0983297171688642,1.0196629517522728
2018-04-23,1.2556073348792223,1.098997316763169,1.0199139927709944
2018-04-24,1.2734109107464953,1.097289802416197,1.0201650955960146
2018-04-25,1.247380178699957,1.0918334595781285,1.0204162602425504
2018-04-26,1.2583388864321592,1.1090241491314787,1.020667486725822
2018-04-27,1.2583433162962436,1.10982013326315,1.020918775061054
2018-04-30,1.2742163942392046,1.1055834435300615,1.0211701252634742
2018-05-02,1.2716881134063747,1.0854527480710225,1.0214215373483142
2018-05-03,1.2457259764233408,1.069289134816603,1.0216730113308095
