,Cumulative Daily Returns,IBOV,CDI
2016-01-05,1.0,1.0,1.00052531
2016-01-06,0.9979995861799527,0.9847709752705156,1.0010508959505962
2016-01-07,0.9587430217904631,0.9593578349324595,1.001576757996748
2016-01-08,0.9618177725721727,0.9574011645724794,1.0021028962834913
2016-01-11,0.940987955181311,0.9417949503760108,1.0026293109559379
2016-01-12,0.9410009195691966,0.9315165374006931,1.0031560021592762
2016-01-13,0.9394485472750599,0.9180791626393833,1.0036829700387706
2016-01-14,0.9470284982291185,0.931186496617082,1.0042102147397616
2016-01-15,0.9358152273346411,0.9092387845069426,1.0047377364076666
2016-01-19,0.9259580377960557,0.8971687215634504,1.0057936112262684
2016-01-20,0.9095853676488028,0.8874560927886089,1.0063219646681818
2016-01-21,0.9241730403459847,0.8891534453900375,1.0068505956594416
2016-01-22,0.93415401609483,0.8965557886796011,1.0073795043458473
2016-01-26,0.9477022761956089,0.8839670902190057,1.008438155387678
2016-01-27,0.9954729774227937,0.9046889365614466,1.0089678980350847
2016-01-28,0.9952711966394497,0.9106768193498198,1.0094979189616016
2016-01-29,1.036857839033115,0.9525448501850587,1.0100282183134113
2016-02-01,1.0445535414861038,0.9564110422216461,1.0105587962367735
2016-02-02,1.0517079221836176,0.9098752917324785,1.0110896528780247
2016-02-03,1.085470295978483,0.9332846130271812,1.011620788383578
2016-02-04,1.1410438152771312,0.9623517763266461,1.0121522028999237
2016-02-05,1.1482078480381916,0.9569296777387493,1.0126838965736291
2016-02-10,1.1905146508128939,0.9518611942761499,1.0132158695513382
2016-02-11,1.1107097906531653,0.9268959664301375,1.0137481219797722
2016-02-12,1.1247010784524218,0.9384473938565266,1.0142806540057294
2016-02-16,1.099332596672754,0.9653221433791463,1.015346557437792
2016-02-17,1.1548375040710352,0.9814234187510316,1.0158799291378797
2016-02-18,1.1127965715969763,0.9778165444729958,1.0164135810234551
2016-02-19,1.1300048467890422,0.9793488766826188,1.0169475132417025
2016-02-22,1.2698525334562245,1.019236662816191,1.0174817259398836
2016-02-23,1.1949373792498545,1.002404582852024,1.018016219265337
2016-02-24,1.1964977029305608,0.9921261698767063,1.0185509933654793
2016-02-25,1.2053643351163532,0.9874820245644642,1.0190860483878041
2016-02-26,1.1554902953201116,0.9805275937669443,1.0196213844798827
2016-02-29,1.2150546983860717,1.0088403781324409,1.0201570017893637
2016-03-01,1.2422666391180732,1.0401471038921242,1.0206929004639738
2016-03-02,1.2713079493805868,1.0583229213324223,1.0212290806515165
2016-03-03,1.3136713227518662,1.1125439072113918,1.0217655424998735
2016-03-04,1.3658811778777824,1.1571465616822658,1.0223022861570041
2016-03-07,1.3817407338181034,1.1609420306937936,1.0228393117709453
2016-03-08,1.2400486030680984,1.1575473254909363,1.0233766194898117
2016-03-09,1.313090572305275,1.147245338173932,1.023914209461796
2016-03-10,1.3052028869401837,1.1686036917419085,1.0244520818351683
2016-03-11,1.3053632595963407,1.170206746976591,1.0249902367582773
2016-03-14,1.270040637684601,1.1520073551946066,1.0255286743795489
2016-03-15,1.262338286832662,1.1110587236851415,1.0260673948474872
2016-03-16,1.3410736195654434,1.1259812819727013,1.0266063983106746
2016-03-17,1.4362524386019704,1.2002640326268894,1.0271456849177711
2016-03-18,1.464206982574773,1.197930172799925,1.0276852548175153
2016-03-21,1.4675154516259155,1.2063462127820084,1.0282251081587235
2016-03-22,1.4633147652000074,1.202527169428794,1.0287652450902904
2016-03-23,1.4013971844476472,1.1714090384026028,1.0293056657611888
2016-03-24,1.435737283026097,1.1706310851269481,1.0298463703204697
2016-03-28,1.470138642127831,1.1984723826587147,1.0303873589172627
2016-03-29,1.4755307518304253,1.2059454489733379,1.0309286317007755
2016-03-30,1.4666171819447105,1.2081614370918696,1.0314701888202942
2016-03-31,1.4339655909172537,1.1800136731181787,1.0320120304251834
2016-04-01,1.4222142719809754,1.1919658643532385,1.0325541566648861
2016-04-04,1.31389659589039,1.1499563874678804,1.0330965676889239
2016-04-05,1.3143110251242698,1.1564157570899838,1.0336392636468965
2016-04-06,1.2966408363759498,1.1338315377543087,1.034182244688483
2016-04-07,1.3126700647342529,1.1436620382375826,1.0347255109634403
2016-04-08,1.5001685410765433,1.1856243664395676,1.0352690626216046
2016-04-11,1.5001680647457403,1.1826068507036944,1.0358128998128904
2016-04-12,1.5516244789832192,1.2259129163818103,1.0363570226872911
2016-04-13,1.6044390728049545,1.252976260637922,1.036901431394879
2016-04-14,1.5494395270358863,1.2355548221315924,1.037446126085805
2016-04-15,1.6510207455929318,1.2548150592894698,1.0379911069102992
2016-04-18,1.5750065156730668,1.2469412291661761,1.0385363740186702
2016-04-19,1.6236129250888853,1.266177891982367,1.039081927561306
2016-04-20,1.7778994683559053,1.2643155189891329,1.0396277676886732
2016-04-22,1.5806933372228098,1.2472712699497872,1.0401738945513177
2016-04-25,1.5636472048545902,1.2226125085456994,1.0407203082998644
2016-04-26,1.5657079771176676,1.2513967797449261,1.0412670090850173
2016-04-27,1.5888177577464015,1.2842829863976055,1.0418139970575597
2016-04-28,1.5961360380728578,1.2803696456776452,1.042361272368354
2016-04-29,1.6054616281711045,1.2709163346613555,1.0429088351683418
2016-05-02,1.5825868259047233,1.262688889412764,1.043456685608544
2016-05-03,1.5218956449480614,1.23199509653693,1.0440048238400612
2016-05-04,1.5576468645708026,1.238902378651077,1.0445532500140726
2016-05-05,1.5406163680920284,1.2181098092835767,1.0451019642818375
2016-05-06,1.5210615572787258,1.2192178033428427,1.0456509667946945
2016-05-09,1.5307836064404081,1.2020556825950646,1.0462002577040614
2016-05-10,1.581356678012067,1.2511138876446888,1.0467498371614359
2016-05-11,1.5873521537784918,1.2438765647469308,1.0472997053183952
2016-05-12,1.6415860590225764,1.2551215257313952,1.047849862326596
2016-05-13,1.5492811376053388,1.2212451967278826,1.0484003083377746
2016-05-16,1.5752233363000865,1.221221622386196,1.0489510435037475
2016-05-17,1.5261792427430214,1.198495957000402,1.0495020679764104
2016-05-18,1.4352833369119697,1.1919658643532391,1.0500533819077391
2016-05-19,1.4430609597335806,1.1818524717697272,1.050604985449789
2016-05-20,1.4050289369829836,1.1721869916782588,1.0511568787546957
2016-05-23,1.4081448487193917,1.162922275395461,1.0517090619746743
2016-05-24,1.4039984876153964,1.1632758905207587,1.0522615352620202
2016-05-25,1.403332882219104,1.166529149673497,1.0528142987691087
2016-05-27,1.3716488423502595,1.1563450340649255,1.053367352648395
2016-05-31,1.3725564503694654,1.1426954902284372,1.0544743321337835
2016-06-01,1.3865983812168297,1.1554492090808381,1.0550282580451966
2016-06-02,1.379604673932862,1.1760531837148465,1.0555824749394302
2016-06-03,1.4551039486405166,1.1933096018293707,1.0561369829693408
2016-06-06,1.4749490633778344,1.1889011999339936,1.0566917822878643
2016-06-07,1.4483559120664105,1.190221363068438,1.057246873048018
2016-06-08,1.4707301866260831,1.217119686932744,1.057802255402899
2016-06-09,1.4619026579592096,1.2050731983309382,1.0583579295056846
2016-06-10,1.403098471878598,1.16509111483062,1.0589138955096333
2016-06-13,1.4168157646133963,1.1707253824936954,1.0594701535680835
2016-06-14,1.37519397851358,1.1468445743652624,1.0600267038344544
2016-06-15,1.4412066764374736,1.1531389235955603,1.0605835464622457
2016-06-16,1.4492662868107629,1.1648553714137548,1.0611406816050377
2016-06-17,1.5171190226790559,1.167731441099509,1.0616981094164917
2016-06-20,1.559034273397076,1.1864730427402832,1.0622558300503493
2016-06-21,1.5674185831031247,1.198472382658716,1.062813843660433
2016-06-22,1.5702351904161111,1.1823946816285174,1.0633721504006464
2016-06-23,1.6428422101498374,1.2154930573563754,1.0639307504249733
2016-06-24,1.6138399349888084,1.1811923902025057,1.0644896438874791
2016-06-27,1.5823487498974451,1.160942030693795,1.0650488309423096
2016-06-28,1.6249832734860192,1.178882104717228,1.0656083117436919
2016-06-29,1.663515982264891,1.202338574695304,1.066168086445934
2016-06-30,1.6728315755045817,1.214715104080721,1.066728155203425
2016-07-01,1.7282997971178797,1.2313585893113959,1.0672885181706349
2016-07-05,1.7120746137985943,1.222141021711971,1.0684101273524982
2016-07-06,1.7144484938021645,1.2235554822131616,1.0689713738764977
2016-07-07,1.7213892816788958,1.226219382823737,1.0695329152289088
2016-07-08,1.7412948796280883,1.2527640915627458,1.0700947515646078
2016-07-11,1.7672100640927526,1.272071477403996,1.070656883038552
2016-07-12,1.7022514278268457,1.2790494825432026,1.0712193098057812
2016-07-13,1.6941084179522252,1.2871119073999884,1.0717820320214153
2016-07-14,1.6905532606499873,1.3079280511091753,1.0723450498406564
2016-07-15,1.6897985494603478,1.3102147622527665,1.0729083634187881
2016-07-18,1.7117001344984433,1.3315731158207433,1.0734719729111757
2016-07-19,1.7383096379892606,1.3366180249416562,1.0740358784732658
2016-07-20,1.756017448525585,1.333789103939275,1.0746000802605866
2016-07-21,1.7613727047847754,1.3352742874655252,1.0751645784287482
2016-07-22,1.775793533527605,1.3437846248143548,1.0757293731334427
2016-07-25,1.803745228911767,1.3407435347367953,1.0762944645304435
2016-07-26,1.803979623429761,1.3386218439850095,1.076859852775606
2016-07-27,1.802483851949764,1.3402720479030652,1.0774255380248674
2016-07-28,1.8268271017753956,1.3358872203493746,1.0779915204342472
2016-07-29,1.8204521721122027,1.3509983733704265,1.0785578001598466
2016-08-01,1.7612792893743063,1.3379853367594738,1.0791243773578485
2016-08-02,1.7477919868769987,1.323982177797688,1.0796912521845183
2016-08-03,1.7554210960576409,1.3455527004408432,1.0802584247962035
2016-08-04,1.7648013733341452,1.357740635092768,1.0808258953493333
